Mes	VarActCom
1/01/2016	3.02
1/02/2016	4.02
1/03/2016	3.12
1/04/2016	4
1/05/2016	3.29
1/06/2016	2.61
1/07/2016	2.35
1/08/2016	2.99
1/09/2016	2.48
1/10/2016	1.88
1/11/2016	1.58
1/12/2016	2.41
1/01/2017	1.93
1/02/2017	1.06
1/03/2017	0.05
1/04/2017	0.18
1/05/2017	2.2
1/06/2017	2.35
1/07/2017	1.77
1/08/2017	1.74
1/09/2017	2.06
1/10/2017	1.76
1/11/2017	2.08
1/12/2017	2.22
1/01/2018	2.38
1/02/2018	2.55
1/03/2018	3.14
1/04/2018	4.92
1/05/2018	3.28
1/06/2018	1.61
1/07/2018	2.66
1/08/2018	2.52
1/09/2018	1.41
1/10/2018	2.57
1/11/2018	2.4
1/12/2018	2.53
